Id,Designator,Footprint,Quantity,Comment,Datasheet
1,"C1,C10",Capacitor_SMD:C_0402_1005Metric,2,1uF,~
2,"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17",Capacitor_SMD:C_0402_1005Metric,11,0.1uF,~
3,"C13,C14",Capacitor_SMD:C_0603_1608Metric,2,10uF,~
4,"C15,C16",Capacitor_SMD:C_0402_1005Metric,2,33pF,~
5,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
6,"J2,J3",Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,~
7,J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,~
8,"R1,R2",Resistor_SMD:R_0402_1005Metric,2,5.1K,~
9,"R3,R4",Resistor_SMD:R_0402_1005Metric,2,27,~
10,"R5,R6",Resistor_SMD:R_0402_1005Metric,2,1K,~
11,R7,Resistor_SMD:R_0402_1005Metric,1,10K,~
12,SW1,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,~
13,U1,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf
14,U2,Package_TO_SOT_SMD:SOT-23,1,MCP1700x-330xxTT,http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf
15,U3,Custom footprints:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf
16,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,~
