Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,151.360000,-48.120000,180.000000,bottom
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,169.140000,-48.120000,180.000000,bottom
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,162.740000,-96.140000,90.000000,bottom
C1,1uF,C_0402_1005Metric,165.500000,-71.500000,90.000000,top
C2,0.1uF,C_0402_1005Metric,162.500000,-68.000000,0.000000,top
C3,0.1uF,C_0402_1005Metric,165.500000,-82.000000,-90.000000,top
C4,0.1uF,C_0402_1005Metric,164.000000,-71.520000,90.000000,top
C5,0.1uF,C_0402_1005Metric,162.500000,-67.000000,0.000000,top
C6,0.1uF,C_0402_1005Metric,155.130000,-77.240000,180.000000,top
C7,0.1uF,C_0402_1005Metric,155.500000,-72.000000,180.000000,top
C8,0.1uF,C_0402_1005Metric,165.330000,-72.925000,0.000000,top
C9,0.1uF,C_0402_1005Metric,166.270000,-77.250000,0.000000,top
C10,1uF,C_0402_1005Metric,161.500000,-82.000000,0.000000,top
C11,0.1uF,C_0402_1005Metric,163.000000,-70.500000,90.000000,top
C12,0.1uF,C_0402_1005Metric,164.500000,-69.000000,0.000000,top
C13,10uF,C_0603_1608Metric,157.225000,-55.500000,180.000000,top
C14,10uF,C_0603_1608Metric,157.725000,-61.500000,180.000000,top
C15,33pF,C_0402_1005Metric,156.500000,-84.420000,-90.000000,top
C16,33pF,C_0402_1005Metric,162.500000,-84.500000,90.000000,top
C17,0.1uF,C_0402_1005Metric,159.000000,-66.000000,180.000000,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.250000,-49.250000,180.000000,top
R1,5.1K,R_0402_1005Metric,159.500000,-55.500000,-90.000000,top
R2,5.1K,R_0402_1005Metric,162.000000,-56.000000,-90.000000,top
R3,27,R_0402_1005Metric,162.000000,-70.500000,-90.000000,top
R4,27,R_0402_1005Metric,161.000000,-70.500000,-90.000000,top
R5,1K,R_0402_1005Metric,159.560000,-82.000000,0.000000,top
R6,1K,R_0402_1005Metric,163.000000,-64.500000,180.000000,top
R7,10K,R_0402_1005Metric,157.000000,-66.000000,0.000000,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,163.000000,-61.000000,-90.000000,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.250000,-76.250000,0.000000,top
U2,MCP1700x-330xxTT,SOT-23,158.000000,-58.500000,90.000000,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,158.000000,-67.750000,0.000000,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.500000,-84.420000,180.000000,top
